Time,Heading,Servo_PW
599,1573,3871
600,1629,3871
601,1684,3871
602,1792,3871
603,1878,3871
604,2008,3871
605,2095,3871
606,2225,3871
607,2310,1659
608,2356,1659
609,2335,1659
610,2279,1659
611,2257,1659
612,2250,3871
613,2249,3871
614,2259,1659
615,2263,1659
616,2260,1659
617,2272,1659
618,2318,1659
619,2366,1659
620,2463,1659
621,2546,1659
622,2676,1659
623,2762,1659
624,2892,1659
625,2979,1659
626,3109,1783
627,3196,1957
628,3324,2213
629,3395,2355
630,3475,2515
631,3516,2597
632,3563,2691
633,3587,2739
634,15,2795
635,29,2823
636,46,2857
637,55,2875
638,64,2893
639,70,2905
640,76,2917
641,79,2923
642,82,2929
643,84,2933
644,86,2937
645,87,2939
646,89,2943
647,89,2943
648,90,2945
649,90,2945
650,91,2947
651,91,2947
652,91,2947
653,92,2949
654,92,2949
655,92,2949
656,92,2949
657,92,2949
658,92,2949
659,92,2949
660,92,2949
661,92,2949
662,92,2949
663,92,2949
664,92,2949
665,92,2949
666,92,2949
667,92,2949
668,92,2949
669,92,2949
670,92,2949
671,92,2949
672,92,2949
673,92,2949
674,92,2949
675,92,2949
676,92,2949
677,92,2949
678,92,2949
679,92,2949
680,92,2949
681,92,2949
682,92,2949
683,92,2949
684,92,2949
685,92,2949
686,92,2949
687,92,2949
688,92,2949
689,92,2949
690,92,2949
691,92,2949
692,92,2949
693,2768,1659
694,2793,1659
695,2873,1659
696,3003,1659
697,3089,1743
698,3204,1973
699,3262,2089
700,3328,2221
701,3361,2287
702,3400,2365
703,3420,2405
704,3444,2453
705,3456,2477
706,3469,2503
707,3477,2519
708,3485,2535
709,3489,2543
710,3494,2553
711,3497,2559
712,3499,2563
713,3501,2567
714,3503,2571
715,3504,2573
716,3505,2575
717,3505,2575
718,3506,2577
719,3506,2577
720,3507,2579
721,3507,2579
722,3507,2579
723,3507,2579
724,3507,2579
725,3508,2581
726,3507,2579
727,3508,2581
728,3508,2581
729,3507,2579
730,3508,2581
731,3508,2581
732,3507,2579
733,3508,2581
734,3508,2581
735,3508,2581
736,3508,2581
737,3508,2581
738,3507,2579
739,3508,2581
740,3508,2581
741,3508,2581
742,3508,2581
743,3508,2581
744,3508,2581
745,3507,2579
746,3508,2581
747,3508,2581
748,3508,2581
749,3508,2581
750,3508,2581
751,3507,2579
752,3508,2581
753,3508,2581
754,3508,2581
755,3508,2581
756,3508,2581
757,3507,2579
758,3508,2581
759,3508,2581
760,3507,2579
761,3508,2581
762,3508,2581
763,3507,2579
764,3508,2581
765,3508,2581
766,3507,2579
767,3508,2581
768,3508,2581
769,3507,2579
770,3508,2581
771,3508,2581
772,3507,2579
773,3508,2581
774,3508,2581
775,3507,2579
776,3508,2581
777,3508,2581
778,3507,2579
779,3508,2581
780,3508,2581
781,3507,2579
782,3508,2581
783,3508,2581
784,3507,2579
785,3508,2581
786,3508,2581
787,3507,2579
788,3508,2581
789,3508,2581
790,3507,2579
791,3508,2581
792,3508,2581
793,807,3871
794,730,3871
795,644,3871
796,513,3791
797,427,3619
798,297,3359
799,223,3211
800,137,3039
801,94,2953
802,44,2853
803,19,2803
