Time, Error,Error_sum
630,-92,-2639
631,-92,-2823
632,-92,-3099
633,-92,-3283
634,-92,-3559
635,-92,-3743
636,-92,-4019
637,-92,-4203
638,-92,-4479
639,-92,-4663
640,-92,-4939
641,-92,-5123
642,-92,-5399
643,-92,-5583
644,-92,-5859
645,-92,-6043
646,-92,-6319
647,-92,-6503
648,-92,-6779
649,-92,-6963
650,-92,-7239
651,-92,-7423
652,-92,-7699
653,-92,-7883
654,-92,-8159
655,-92,-8343
656,-92,-8619
657,-92,-8803
658,-92,-9079
659,-92,-9263
660,-92,-9539
661,-92,-9723
662,-92,-9999
663,-92,-10183
664,-92,-10459
665,-92,-10643
666,-92,-10919
667,-92,-11103
668,-92,-11379
669,-92,-11563
670,-92,-11839
671,-92,-12023
672,-92,-12299
673,-92,-12483
674,-92,-12759
675,-92,-12943
676,-92,-13219
677,-92,-13403
678,-92,-13679
679,-92,-13863
680,-92,-14139
681,-92,-14323
682,-92,-14599
683,-92,-14783
684,-92,-15059
685,-92,-15244
686,-92,-15520
687,-92,-15704
688,-92,-15980
689,-92,-16164
690,-92,-16440
691,-93,-16625
692,-92,-16901
693,807,-15286
694,730,-12991
695,644,-11660
696,514,-9989
697,427,-9092
698,298,-8070
699,223,-7589
700,137,-7098
701,94,-6889
702,45,-6709
703,19,-6659
704,-11,-6664
705,-26,-6708
706,-43,-6821
707,-52,-6921
708,-63,-7100
709,-68,-7234
710,-75,-7453
711,-78,-7607
712,-82,-7849
713,-84,-8016
714,-86,-8271
715,-87,-8444
716,-88,-8707
717,-89,-8885
718,-90,-9154
719,-90,-9334
720,-91,-9606
721,-91,-9788
722,-91,-10061
723,-91,-10243
724,-92,-10519
725,-92,-10703
726,-92,-10979
727,-92,-11163
728,-92,-11439
729,-92,-11623
730,-92,-11899
731,-92,-12083
732,-92,-12359
733,-92,-12543
734,-92,-12819
735,-92,-13003
736,-92,-13279
737,-92,-13463
738,-92,-13739
739,-92,-13923
740,-92,-14199
741,-92,-14383
742,-92,-14659
743,-92,-14843
744,-92,-15119
745,-92,-15303
746,-92,-15579
747,-92,-15763
748,-92,-16039
749,-92,-16223
750,-92,-16499
751,-92,-16683
752,-92,-16959
753,-92,-17143
754,-92,-17419
755,-92,-17603
756,-92,-17879
757,-92,-18063
758,-92,-18339
759,-92,-18523
760,-92,-18799
761,-92,-18983
762,-92,-19259
763,-92,-19443
764,-92,-19719
765,-92,-19903
766,-92,-20179
767,-92,-20363
768,-92,-20639
769,-92,-20823
770,-92,-21099
771,-92,-21283
772,-92,-21559
773,-92,-21743
774,-92,-22019
775,-92,-22203
776,-92,-22479
777,-92,-22663
778,-92,-22939
779,-92,-23123
780,-92,-23399
781,-92,-23583
782,-92,-23859
783,-92,-24043
784,-92,-24319
785,-92,-24503
786,-92,-24780
787,-92,-24964
788,-92,-25240
789,-92,-25424
790,-92,-25700
791,-92,-25884
792,-92,-26161
793,828,-24520
794,802,-22061
795,723,-20572
796,593,-18663
797,506,-17607
798,393,-16324
799,336,-15625
800,270,-14753
801,237,-14263
802,199,-13631
803,179,-13264
804,156,-12775
805,144,-12482
806,130,-12079
807,123,-11830
808,115,-11478
809,111,-11254
810,106,-10932
811,103,-10724
812,100,-10421
813,99,-10222
814,97,-9929
