Time,Desired Heading,Heading,1FAN_PW
224,1800,1839,2771,4199705
225,1800,1836,2774,4199705
226,1800,1834,2761,4199705
227,1800,1831,2779,4199705
228,1800,1828,2782,4199705
229,1800,1826,2769,4199705
230,1800,1823,2787,4199705
231,1800,1821,2774,4199705
232,1800,1818,2792,4199705
233,1800,1816,2779,4199705
234,1800,1814,2781,4199705
235,1800,1811,2799,4199705
236,1800,1809,2786,4199705
237,1800,1807,2788,4199705
238,1793,1805,2678,4199705
239,1781,1803,2593,4199705
240,1769,1801,2583,4199705
241,1757,1799,2573,4199705
242,1745,1797,2563,4199705
243,1733,1795,2553,4199705
244,1721,1793,2543,4199705
245,1709,1792,2517,4199705
246,1697,1790,2522,4199705
247,1685,1788,2512,4199705
248,1673,1787,2486,4199705
249,1661,1785,2491,4199705
250,1649,1783,2481,4199705
251,1637,1782,2455,4199705
252,1625,1781,2444,4199705
253,1613,1779,2449,4199705
254,1601,1777,2439,4199705
255,1589,1774,2445,4199705
256,1577,1770,2452,4199705
257,1565,1765,2460,4199705
258,1553,1760,2453,4199705
259,1541,1754,2462,4199705
260,1529,1747,2472,4199705
261,1517,1739,2483,4199705
262,1505,1730,2495,4199705
263,1493,1721,2492,4199705
264,1481,1711,2505,4199705
265,1469,1701,2503,4199705
266,1457,1690,2517,4199705
267,1445,1678,2532,4199705
268,1433,1665,2548,4199705
269,1421,1652,2549,4199705
270,1409,1639,2550,4199705
271,1397,1625,2567,4199705
272,1385,1611,2569,4199705
273,1373,1596,2587,4199705
274,1361,1581,2590,4199705
275,1349,1565,2609,4199705
276,1337,1549,2613,4199705
277,1325,1532,2633,4199705
278,1313,1516,2622,4199705
279,1301,1499,2642,4199705
280,1289,1482,2647,4199705
281,1277,1464,2668,4199705
282,1265,1447,2658,4199705
283,1253,1429,2679,4199705
